name,category,school,1) Behjälplig,2) Obehjälplig,3) Oanvänd,subject,block
"Att få respons",Analysera och reflektera,Borlänge,7,26,12,Franska,Arton
"Att få respons",Analysera och reflektera,Borås,30,25,9,Tyska,Trettioett
"Att få respons",Analysera och reflektera,Enköping,20,15,16,Spanska,Trettiosex
"Att få respons",Analysera och reflektera,Enskede,3,17,24,Svenska,Tjugo
"Att få respons",Analysera och reflektera,Fruängen,28,28,10,Tyska,Två
"Att få respons",Analysera och reflektera,Gävle,22,2,9,Engelska,Fyrtiofyra
"Att få respons",Analysera och reflektera,Helsingborg,1,8,26,Matematik,Trettioåtta
"Att få respons",Analysera och reflektera,Jönköping,20,8,1,Svenska,Åtta
"Att få respons",Analysera och reflektera,Katrineholm,8,13,16,Franska,Fem
"Att få respons",Analysera och reflektera,Krokslätt,23,15,10,Svenska,Nio
"Att få respons",Analysera och reflektera,Landskrona,3,12,20,Svenska,Trettiofyra
"Att få respons",Analysera och reflektera,Linköping,20,10,11,Spanska,Tjugofem
"Att få respons",Analysera och reflektera,Lund,17,28,21,Tyska,Sjutton
"Att få respons",Analysera och reflektera,Nacka,1,14,2,Matematik,Trettiosex
"Att få respons",Analysera och reflektera,Norrköping,5,11,29,Spanska,Trettio
"Att få respons",Analysera och reflektera,Nyköping,18,25,11,Spanska,Tretton
"Att få respons",Analysera och reflektera,Saltsjöbaden,17,13,30,Matematik,Fyrtioett
"Att få respons",Analysera och reflektera,Spånga,9,5,16,Matematik,Fyrtio
"Att få respons",Analysera och reflektera,Trelleborg,7,8,4,Spanska,Nio
"Att få respons",Analysera och reflektera,Tumba,14,7,17,Svenska,Tjugoett
"Att få respons",Analysera och reflektera,Tyresö,23,11,24,Spanska,Trettiotvå
"Att få respons",Analysera och reflektera,Täby,11,9,22,Franska,Femton
"Att få respons",Analysera och reflektera,Uppsala,10,11,13,Franska,Tjugosex
"Att få respons",Analysera och reflektera,Uppsala Norra,13,29,13,Spanska,Tjugo
"Att få respons",Analysera och reflektera,Varberg,23,15,22,Franska,Sexton
"Bli bättre på något",Hitta motivationen,Borlänge,30,16,10,Engelska,Två
"Bli bättre på något",Hitta motivationen,Borås,8,18,3,Engelska,Fyrtiotvå
"Bli bättre på något",Hitta motivationen,Enköping,19,20,12,Engelska,Tretton
"Bli bättre på något",Hitta motivationen,Enskede,25,26,17,Franska,Trettiofyra
"Bli bättre på något",Hitta motivationen,Fruängen,22,11,24,Engelska,Tjugonio
"Bli bättre på något",Hitta motivationen,Gävle,5,11,15,Franska,Tjugosex
"Bli bättre på något",Hitta motivationen,Helsingborg,11,19,21,Spanska,Femton
"Bli bättre på något",Hitta motivationen,Jönköping,25,24,23,Spanska,Fyrtiotvå
"Bli bättre på något",Hitta motivationen,Katrineholm,6,19,12,Franska,Trettiotre
"Bli bättre på något",Hitta motivationen,Krokslätt,4,4,2,Engelska,Fjorton
"Bli bättre på något",Hitta motivationen,Landskrona,22,18,17,Engelska,Trettiofyra
"Bli bättre på något",Hitta motivationen,Linköping,23,14,25,Franska,Tolv
"Bli bättre på något",Hitta motivationen,Lund,11,20,28,Matematik,Tre
"Bli bättre på något",Hitta motivationen,Nacka,27,23,11,Spanska,Trettiotre
"Bli bättre på något",Hitta motivationen,Norrköping,14,28,1,Tyska,Trettioniio
"Bli bättre på något",Hitta motivationen,Nyköping,6,29,10,Franska,Två
"Bli bättre på något",Hitta motivationen,Saltsjöbaden,23,2,21,Engelska,Sexton
"Bli bättre på något",Hitta motivationen,Spånga,17,4,11,Spanska,Elva
"Bli bättre på något",Hitta motivationen,Trelleborg,30,20,13,Spanska,Tjugoåtta
"Bli bättre på något",Hitta motivationen,Tumba,8,20,3,Matematik,Tjugonio
"Bli bättre på något",Hitta motivationen,Tyresö,20,14,27,Engelska,Tjugotvå
"Bli bättre på något",Hitta motivationen,Täby,17,15,17,Svenska,Tjugo
"Bli bättre på något",Hitta motivationen,Uppsala,26,16,3,Spanska,Trettiofyra
"Bli bättre på något",Hitta motivationen,Uppsala Norra,5,16,14,Franska,Fyra
"Bli bättre på något",Hitta motivationen,Varberg,26,9,25,Matematik,Tio
"Kontrollera dina tankar",Hitta studiefokus,Borlänge,21,4,7,Franska,Trettio
"Kontrollera dina tankar",Hitta studiefokus,Borås,13,8,20,Tyska,Tjugofyra
"Kontrollera dina tankar",Hitta studiefokus,Enköping,13,29,3,Spanska,Trettiofem
"Kontrollera dina tankar",Hitta studiefokus,Enskede,27,12,23,Tyska,Tjugoåtta
"Kontrollera dina tankar",Hitta studiefokus,Fruängen,14,5,18,Franska,Tjugosju
"Kontrollera dina tankar",Hitta studiefokus,Gävle,24,5,25,Spanska,Trettio
"Kontrollera dina tankar",Hitta studiefokus,Helsingborg,3,24,10,Spanska,Tjugotre
"Kontrollera dina tankar",Hitta studiefokus,Jönköping,25,12,28,Franska,Fyrtiotre
"Kontrollera dina tankar",Hitta studiefokus,Katrineholm,11,19,4,Engelska,Tolv
"Kontrollera dina tankar",Hitta studiefokus,Krokslätt,13,7,12,Spanska,Trettiosex
"Kontrollera dina tankar",Hitta studiefokus,Landskrona,5,11,3,Tyska,Fyrtiofem
"Kontrollera dina tankar",Hitta studiefokus,Linköping,13,7,4,Engelska,Nitton
"Kontrollera dina tankar",Hitta studiefokus,Lund,23,2,26,Franska,Fjorton
"Kontrollera dina tankar",Hitta studiefokus,Nacka,15,23,16,Tyska,Trettiosju
"Kontrollera dina tankar",Hitta studiefokus,Norrköping,4,8,23,Spanska,Arton
"Kontrollera dina tankar",Hitta studiefokus,Nyköping,12,11,10,Svenska,Sju
"Kontrollera dina tankar",Hitta studiefokus,Saltsjöbaden,25,21,9,Engelska,Tjugofyra
"Kontrollera dina tankar",Hitta studiefokus,Spånga,13,18,8,Franska,Tolv
"Kontrollera dina tankar",Hitta studiefokus,Trelleborg,16,17,7,Spanska,Tjugosju
"Kontrollera dina tankar",Hitta studiefokus,Tumba,30,25,9,Franska,Tretton
"Kontrollera dina tankar",Hitta studiefokus,Tyresö,1,13,22,Franska,Fyrtiofyra
"Kontrollera dina tankar",Hitta studiefokus,Täby,2,18,25,Matematik,Tretton
"Kontrollera dina tankar",Hitta studiefokus,Uppsala,16,27,7,Engelska,Tjugonio
"Kontrollera dina tankar",Hitta studiefokus,Uppsala Norra,11,5,6,Matematik,Sju
"Kontrollera dina tankar",Hitta studiefokus,Varberg,7,27,2,Matematik,Tjugoett
"Koll på materialet",Planera ditt lärande,Borlänge,15,25,7,Franska,Tolv
"Koll på materialet",Planera ditt lärande,Borås,19,11,1,Matematik,Fyrtioett
"Koll på materialet",Planera ditt lärande,Enköping,22,3,22,Svenska,Tjugosju
"Koll på materialet",Planera ditt lärande,Enskede,22,18,17,Tyska,Sexton
"Koll på materialet",Planera ditt lärande,Fruängen,17,25,17,Svenska,Trettiofyra
"Koll på materialet",Planera ditt lärande,Gävle,19,18,3,Engelska,Trettioniio
"Koll på materialet",Planera ditt lärande,Helsingborg,22,16,2,Tyska,Ett
"Koll på materialet",Planera ditt lärande,Jönköping,10,1,21,Matematik,Fjorton
"Koll på materialet",Planera ditt lärande,Katrineholm,12,25,24,Svenska,Fyrtiofem
