name,category,school,Behjälplig,Obehjälplig,Oanvänd
"Att få respons",Analysera och reflektera,Borlänge,7,26,12
"Att få respons",Analysera och reflektera,Borås,30,25,9
"Att få respons",Analysera och reflektera,Enköping,20,15,16
"Att få respons",Analysera och reflektera,Enskede,3,17,24
"Att få respons",Analysera och reflektera,Fruängen,28,28,10
"Att få respons",Analysera och reflektera,Gävle,22,2,9
"Att få respons",Analysera och reflektera,Helsingborg,1,8,26
"Att få respons",Analysera och reflektera,Jönköping,20,8,1
"Att få respons",Analysera och reflektera,Katrineholm,8,13,16
"Att få respons",Analysera och reflektera,Krokslätt,23,15,10
"Att få respons",Analysera och reflektera,Landskrona,3,12,20
"Att få respons",Analysera och reflektera,Linköping,20,10,11
"Att få respons",Analysera och reflektera,Lund,17,28,21
"Att få respons",Analysera och reflektera,Nacka,1,14,2
"Att få respons",Analysera och reflektera,Norrköping,5,11,29
"Att få respons",Analysera och reflektera,Nyköping,18,25,11
"Att få respons",Analysera och reflektera,Saltsjöbaden,17,13,30
"Att få respons",Analysera och reflektera,Spånga,9,5,16
"Att få respons",Analysera och reflektera,Trelleborg,7,8,4
"Att få respons",Analysera och reflektera,Tumba,14,7,17
"Att få respons",Analysera och reflektera,Tyresö,23,11,24
"Att få respons",Analysera och reflektera,Täby,11,9,22
"Att få respons",Analysera och reflektera,Uppsala,10,11,13
"Att få respons",Analysera och reflektera,Uppsala Norra,13,29,13
"Att få respons",Analysera och reflektera,Varberg,23,15,22
"Bli bättre på något",Hitta motivationen,Borlänge,30,16,10
"Bli bättre på något",Hitta motivationen,Borås,8,18,3
"Bli bättre på något",Hitta motivationen,Enköping,19,20,12
"Bli bättre på något",Hitta motivationen,Enskede,25,26,17
"Bli bättre på något",Hitta motivationen,Fruängen,22,11,24
"Bli bättre på något",Hitta motivationen,Gävle,5,11,15
"Bli bättre på något",Hitta motivationen,Helsingborg,11,19,21
"Bli bättre på något",Hitta motivationen,Jönköping,25,24,23
"Bli bättre på något",Hitta motivationen,Katrineholm,6,19,12
"Bli bättre på något",Hitta motivationen,Krokslätt,4,4,2
"Bli bättre på något",Hitta motivationen,Landskrona,22,18,17
"Bli bättre på något",Hitta motivationen,Linköping,23,14,25
"Bli bättre på något",Hitta motivationen,Lund,11,20,28
"Bli bättre på något",Hitta motivationen,Nacka,27,23,11
"Bli bättre på något",Hitta motivationen,Norrköping,14,28,1
"Bli bättre på något",Hitta motivationen,Nyköping,6,29,10
"Bli bättre på något",Hitta motivationen,Saltsjöbaden,23,2,21
"Bli bättre på något",Hitta motivationen,Spånga,17,4,11
"Bli bättre på något",Hitta motivationen,Trelleborg,30,20,13
"Bli bättre på något",Hitta motivationen,Tumba,8,20,3
"Bli bättre på något",Hitta motivationen,Tyresö,20,14,27
"Bli bättre på något",Hitta motivationen,Täby,17,15,17
"Bli bättre på något",Hitta motivationen,Uppsala,26,16,3
"Bli bättre på något",Hitta motivationen,Uppsala Norra,5,16,14
"Bli bättre på något",Hitta motivationen,Varberg,26,9,25
"Kontrollera dina tankar",Hitta studiefokus,Borlänge,21,4,7
"Kontrollera dina tankar",Hitta studiefokus,Borås,13,8,20
"Kontrollera dina tankar",Hitta studiefokus,Enköping,13,29,3
"Kontrollera dina tankar",Hitta studiefokus,Enskede,27,12,23
"Kontrollera dina tankar",Hitta studiefokus,Fruängen,14,5,18
"Kontrollera dina tankar",Hitta studiefokus,Gävle,24,5,25
"Kontrollera dina tankar",Hitta studiefokus,Helsingborg,3,24,10
"Kontrollera dina tankar",Hitta studiefokus,Jönköping,25,12,28
"Kontrollera dina tankar",Hitta studiefokus,Katrineholm,11,19,4
"Kontrollera dina tankar",Hitta studiefokus,Krokslätt,13,7,12
"Kontrollera dina tankar",Hitta studiefokus,Landskrona,5,11,3
"Kontrollera dina tankar",Hitta studiefokus,Linköping,13,7,4
"Kontrollera dina tankar",Hitta studiefokus,Lund,23,2,26
"Kontrollera dina tankar",Hitta studiefokus,Nacka,15,23,16
"Kontrollera dina tankar",Hitta studiefokus,Norrköping,4,8,23
"Kontrollera dina tankar",Hitta studiefokus,Nyköping,12,11,10
"Kontrollera dina tankar",Hitta studiefokus,Saltsjöbaden,25,21,9
"Kontrollera dina tankar",Hitta studiefokus,Spånga,13,18,8
"Kontrollera dina tankar",Hitta studiefokus,Trelleborg,16,17,7
"Kontrollera dina tankar",Hitta studiefokus,Tumba,30,25,9
"Kontrollera dina tankar",Hitta studiefokus,Tyresö,1,13,22
"Kontrollera dina tankar",Hitta studiefokus,Täby,2,18,25
"Kontrollera dina tankar",Hitta studiefokus,Uppsala,16,27,7
"Kontrollera dina tankar",Hitta studiefokus,Uppsala Norra,11,5,6
"Kontrollera dina tankar",Hitta studiefokus,Varberg,7,27,2
"Koll på materialet",Planera ditt lärande,Borlänge,15,25,7
"Koll på materialet",Planera ditt lärande,Borås,19,11,1
"Koll på materialet",Planera ditt lärande,Enköping,22,3,22
"Koll på materialet",Planera ditt lärande,Enskede,22,18,17
"Koll på materialet",Planera ditt lärande,Fruängen,17,25,17
"Koll på materialet",Planera ditt lärande,Gävle,19,18,3
"Koll på materialet",Planera ditt lärande,Helsingborg,22,16,2
"Koll på materialet",Planera ditt lärande,Jönköping,10,1,21
"Koll på materialet",Planera ditt lärande,Katrineholm,12,25,24
"Koll på materialet",Planera ditt lärande,Krokslätt,16,11,3
"Koll på materialet",Planera ditt lärande,Landskrona,29,9,3
"Koll på materialet",Planera ditt lärande,Linköping,9,23,2
"Koll på materialet",Planera ditt lärande,Lund,23,20,21
"Koll på materialet",Planera ditt lärande,Nacka,27,13,22
"Koll på materialet",Planera ditt lärande,Norrköping,16,3,26
"Koll på materialet",Planera ditt lärande,Nyköping,21,7,23
"Koll på materialet",Planera ditt lärande,Saltsjöbaden,25,30,11
"Koll på materialet",Planera ditt lärande,Spånga,24,30,11
"Koll på materialet",Planera ditt lärande,Trelleborg,15,14,16
"Koll på materialet",Planera ditt lärande,Tumba,10,17,19
"Koll på materialet",Planera ditt lärande,Tyresö,7,5,2
"Koll på materialet",Planera ditt lärande,Täby,25,16,19
"Koll på materialet",Planera ditt lärande,Uppsala,20,5,27
"Koll på materialet",Planera ditt lärande,Uppsala Norra,29,22,27
"Koll på materialet",Planera ditt lärande,Varberg,27,19,23
"Att ge kamratrespons",Analysera och reflektera,Borlänge,3,14,30
"Att ge kamratrespons",Analysera och reflektera,Borås,2,18,21
"Att ge kamratrespons",Analysera och reflektera,Enköping,4,11,16
"Att ge kamratrespons",Analysera och reflektera,Enskede,11,18,25
"Att ge kamratrespons",Analysera och reflektera,Fruängen,4,11,13
"Att ge kamratrespons",Analysera och reflektera,Gävle,11,26,27
"Att ge kamratrespons",Analysera och reflektera,Helsingborg,12,22,24
"Att ge kamratrespons",Analysera och reflektera,Jönköping,9,24,30
"Att ge kamratrespons",Analysera och reflektera,Katrineholm,15,17,19
"Att ge kamratrespons",Analysera och reflektera,Krokslätt,4,8,16
"Att ge kamratrespons",Analysera och reflektera,Landskrona,9,10,25
"Att ge kamratrespons",Analysera och reflektera,Linköping,2,21,27
"Att ge kamratrespons",Analysera och reflektera,Lund,2,3,10
"Att ge kamratrespons",Analysera och reflektera,Nacka,9,26,30
"Att ge kamratrespons",Analysera och reflektera,Norrköping,3,8,18
"Att ge kamratrespons",Analysera och reflektera,Nyköping,9,22,28
"Att ge kamratrespons",Analysera och reflektera,Saltsjöbaden,6,21,30
"Att ge kamratrespons",Analysera och reflektera,Spånga,3,15,24
"Att ge kamratrespons",Analysera och reflektera,Trelleborg,4,15,25
"Att ge kamratrespons",Analysera och reflektera,Tumba,10,11,17
"Att ge kamratrespons",Analysera och reflektera,Tyresö,4,9,16
"Att ge kamratrespons",Analysera och reflektera,Täby,1,5,22
"Att ge kamratrespons",Analysera och reflektera,Uppsala,3,13,27
"Att ge kamratrespons",Analysera och reflektera,Uppsala Norra,8,18,23
"Att ge kamratrespons",Analysera och reflektera,Varberg,14,26,28
"Reflektera över matematiska lösningar",Analysera och reflektera,Borlänge,11,12,18
"Reflektera över matematiska lösningar",Analysera och reflektera,Borås,3,18,21
"Reflektera över matematiska lösningar",Analysera och reflektera,Enköping,11,22,28
"Reflektera över matematiska lösningar",Analysera och reflektera,Enskede,11,15,16
"Reflektera över matematiska lösningar",Analysera och reflektera,Fruängen,7,9,24
"Reflektera över matematiska lösningar",Analysera och reflektera,Gävle,4,5,20
"Reflektera över matematiska lösningar",Analysera och reflektera,Helsingborg,2,6,9
"Reflektera över matematiska lösningar",Analysera och reflektera,Jönköping,19,21,26
"Reflektera över matematiska lösningar",Analysera och reflektera,Katrineholm,7,11,29
"Reflektera över matematiska lösningar",Analysera och reflektera,Krokslätt,7,13,16
"Reflektera över matematiska lösningar",Analysera och reflektera,Landskrona,1,15,18
"Reflektera över matematiska lösningar",Analysera och reflektera,Linköping,3,14,22
"Reflektera över matematiska lösningar",Analysera och reflektera,Lund,1,6,18
"Reflektera över matematiska lösningar",Analysera och reflektera,Nacka,1,20,30
"Reflektera över matematiska lösningar",Analysera och reflektera,Norrköping,8,9,18
"Reflektera över matematiska lösningar",Analysera och reflektera,Nyköping,7,10,20
"Reflektera över matematiska lösningar",Analysera och reflektera,Saltsjöbaden,2,11,14
"Reflektera över matematiska lösningar",Analysera och reflektera,Spånga,4,11,14
"Reflektera över matematiska lösningar",Analysera och reflektera,Trelleborg,12,16,30
"Reflektera över matematiska lösningar",Analysera och reflektera,Tumba,12,16,18
"Reflektera över matematiska lösningar",Analysera och reflektera,Tyresö,5,10,15
"Reflektera över matematiska lösningar",Analysera och reflektera,Täby,22,27,28
"Reflektera över matematiska lösningar",Analysera och reflektera,Uppsala,3,21,27
"Reflektera över matematiska lösningar",Analysera och reflektera,Uppsala Norra,3,15,21
"Reflektera över matematiska lösningar",Analysera och reflektera,Varberg,12,27,28
"Självobservation",Analysera och reflektera,Borlänge,12,15,23
"Självobservation",Analysera och reflektera,Borås,5,15,30
"Självobservation",Analysera och reflektera,Enköping,13,21,26
"Självobservation",Analysera och reflektera,Enskede,17,25,29
"Självobservation",Analysera och reflektera,Fruängen,6,8,9
"Självobservation",Analysera och reflektera,Gävle,6,13,24
"Självobservation",Analysera och reflektera,Helsingborg,3,7,24
"Självobservation",Analysera och reflektera,Jönköping,8,14,17
"Självobservation",Analysera och reflektera,Katrineholm,1,7,15
